.-.----.... (a's)
.--..-......--..-..-.-.-.-.....- (welsprekendst)
.--..-.....-.-.--. (welstaan)
.--..-.....-.-.--.........-.-.....-. (welstaanshalve)
.--..-.....-.--.-.. (welstand)
.--..-.....-. (welste)
.--..-..-....-.-..-...-. (weltevreden)
.--..-.....-.-.-.-.- (welvaart)
.--..-.....-.-.-..-. (welvaren)
.--..-.....-.-.-..-.-.. (welvarend)
.--..-.....-.-.-..-.-....-. (welvarender)
.--..-.....-.-.-..-.-.........-.. (welvarendheid)
.--..-.....-.-.-..-.-.....- (welvarendst)
.--..-.....-.-. (welven)
.--..-.....-..-.....----.-...-. (welverbonden)
.--..-.....-..-...-...--.-.. (welvereenigd)
.--..-.....-..-....-.-......--....- (welverschanst)
.--..-.....-..-........-.-.. (welversierd)
.--..-.....-..-....-..-...-. (welversneden)
.--..-.....-..-....-.-.--.-... (welverstaande)
.--..-.....-..-....-..-.-.-- (welversterkt)
.--..-.....-..-.--. (welving)
.--..-.....-..-.--..-. (welvingen)
.--..-.....----.--..-.....----.- (welvoeglijk)
.--..-.....----.--..-.....----.-..-. (welvoeglijker)
.--..-.....----.--..-.....----.-.....-...-. (welvoeglijkheden)
.--..-.....----.--..-.....----.-.......-.. (welvoeglijkheid)
.--..-.....----.--..-.....----.-...- (welvoeglijkst)
.--..-.....-------.-.--.....-. (welvoorzien)
.--..-...--.--..-. (welwater)
.--..-...--...---... (welwijs)
.--..-...--...-----... (welwijze)
.--..-...--...-...-...-.-.. (welwillend)
.--..-...--...-...-...-.-....-. (welwillender)
.--..-...--...-...-...-.-.......-...-. (welwillendheden)
.--..-...--...-...-...-.-.........-.. (welwillendheid)
.--..-...--...-...-...-.-.....- (welwillendst)
.--..-..--...-.-....--. (welzalig)
.--..-..--...--.-.. (welzand)
.--..-..--.....----. (welzijn)
.--.--..-..-... (wemelde)
.--.--..-...-. (wemelen)
.--.-.-... (wende)
.--.-.-....-.--..-. (wendingen)
.--.-.-.-.....-..-..-.-- (wenkbrauw)
.--.-.-.-.....-..-..-.---.---. (wenkbrauwtje)
.--.-.-.-.....-..-..-.---.---.... (wenkbrauwtjes)
.--.-.-.-.-. (wenken)
.--.-.-.-.---. (wenkje)
.--.-.-.-.---.... (wenkjes)
.--.-.-.--. (wenkte)
.--.-.-..-.---. (wennetje)
.--.-.-..-.---.... (wennetjes)
.--.-....-.-.......-.....----.- (wenschelijk)
.--.-....-.-.......-.....----.-..-. (wenschelijker)
.--.-....-.-.......-.....----.-.......-.. (wenschelijkheid)
.--.-....-.-.......-.....----.-...- (wenschelijkst)
.--.-....-.-......-. (wenschen)
.--.-....-.-......---. (wenschje)
.--.-....-.-......---.... (wenschjes)
.--.-....-.-.....-. (wenschte)
.--.-.-..-..-... (wentelde)
.--.-.-..-...-. (wentelen)
.--.-.-..-....-.--. (wenteling)
.--.-.-..-....-.--..-. (wentelingen)
.--.-.-..-......--....-.. (wentelspil)
.--.-.-..-......--....-...-...-. (wentelspillen)
.--.-.-..-.....-..-..-. (wentelsteenen)
.--.-.-..-.....-----.- (wentelstok)
.--.-.-..-.....-----.--.-.-. (wentelstokken)
.--.-.-..-..-....-..---. (wentelteefje)
.--.-.-..-..-....-..---.... (wentelteefjes)
.--.-.-..-..-.-..-.--. (wenteltrap)
.--.-.-..-..-.-..-.--..--..-. (wenteltrappen)
.--.-.-..-..-.-..-.--....----.-.--..--. (wenteltrapvormig)
.--..--...-..-..---.-..-.-.--.---.--. (wepeldorenknop)
.--..--...-..-..---.-..-.-.--.---.--..--..-. (wepeldorenknoppen)
.--..-.-.. (werd)
.--..-...-..-.. (wereld)
.--..-...-..-..........-.-.....---..-.--..-.--. (wereldbeschouwing)
.--..-...-..-..........-.-.....---..-.--..-.--..-. (wereldbeschouwingen)
.--..-...-..-......---.-.. (wereldbol)
.--..-...-..-........-.-.--...-. (wereldburger)
.--..-...-..-........-.-.--...-.... (wereldburgers)
.--..-...-..-........-.-.--...-....-.-......-.--. (wereldburgerschap)
.--..-...-..-..-.....-.. (werelddeel)
.--..-...-..-..-.....-...-. (werelddeelen)
.--..-...-..-...-. (werelden)
.--..-...-..-..--.........-.-.-.-...... (wereldgebeurtenis)
.--..-...-..-..--.........-.-.-.-..........-. (wereldgebeurtenissen)
.--..-...-..-..--.....-.-........-...-...... (wereldgeschiedenis)
.--..-...-..-..--.----.....-.....-....- (wereldgodsdienst)
.--..-...-..-..--.----.....-.....-....-.-. (wereldgodsdiensten)
.--..-...-..-..-.-.-.-.-.- (wereldkaart)
.--..-...-..-..-.-.-.-.-.-.-. (wereldkaarten)
.--..-...-..-..-.-.---.--...---.-....-.-......-.--. (wereldkampioenschap)
.--..-...-..-..-.-.-.-...... (wereldkennis)
.--..-...-..-..-.-..--.-....--. (wereldkundig)
.--..-...-..-..-.-..--.-....--...-. (wereldkundiger)
.--..-...-..-..-.-..--.-....--....- (wereldkundigst)
.--..-...-..-...-.....----.- (wereldlijk)
.--..-...-..-...-....-.--. (wereldling)
.--..-...-..-...-....-.--..-. (wereldlingen)
.--..-...-..-...-.----.-.. (wereldrond)
.--..-...-..-..... (werelds)
.--..-...-..-.....-.-..... (wereldsch)
.--..-...-..-.....-.-.....--..--....-.-.. (wereldschgezind)
.--..-...-..-.....-.-.....--..--....-.-....-. (wereldschgezinder)
.--..-...-..-.....-.-.....--..--....-.-.........-.. (wereldschgezindheid)
.--..-...-..-.....-.-.....--..--....-.-.....- (wereldschgezindst)
.--..-...-..-.....-.--.. (wereldstad)
.--..-...-..-.....-.-...-. (wereldsteden)
.--..-...-..-..-.-.-.-.. (wereldtaal)
.--..-...-..-..-.-.-...-. (wereldtalen)
.--..-...-..-..-.-.--------....-..-...-....-.--. (wereldtentoonstelling)
.--..-...-..-..-.-.--------....-..-...-....-.--..-. (wereldtentoonstellingen)
.--..-...-..-..--------....-.. (wereldtooneel)
.--..-..-. (weren)
.--..-...-. (werf)
.--..-...-......-......-. (werfbrief)
.--..-...-......-.......-.-. (werfbrieven)
.--..-...-.-....--.---- (werfdepot)
.--..-...-.-....--.----... (werfdepots)
.--..-...-.--...-..-.. (werfgeld)
.--..-...-.......-..... (werfhuis)
.--..-...-.......-..--...-. (werfhuizen)
.--..-...-..---. (werfje)
.--..-...-..---.... (werfjes)
.--..-...-.-.-.--.-------.-. (werfkantoor)
.--..-...-.-.-.--.----.-..-. (werfkantoren)
.--..-...-.---..-...-...-.-.....-. (werfofficier)
.--..-...-.---..-...-...-.-.....-..-. (werfofficieren)
.--..-...-.---..-...-...-.-.....-.... (werfofficiers)
.--..-...-.--. (wering)
.--..-.-.- (werk)
.--..-.-.-.....-.-... (werkbaas)
.--..-.-.-.....--.-.- (werkbank)
.--..-.-.-.....--.-.-.-. (werkbanken)
.--..-.-.-.....---...-. (werkbazen)
.--..-.-.-.........- (werkbeest)
.--..-.-.-.........-.-. (werkbeesten)
.--..-.-.-.......--- (werkbij)
.--..-.-.-.......---.-. (werkbijen)
.--..-.-.--...--....--. (werkdadig)
.--..-.-.--...--....--...-. (werkdadiger)
.--..-.-.--...--....--........-.. (werkdadigheid)
.--..-.-.--...--....--....- (werkdadigst)
.--..-.-.--...---. (werkdag)
.--..-.-.--...---..-. (werkdagen)
.--..-.-.-..-.....----.- (werkelijk)
.--..-.-.-..-.....----.-.......-.. (werkelijkheid)
.--..-.-.-..-..------... (werkeloos)
.--..-.-.-..-..------..........-.. (werkeloosheid)
.--..-.-.-..-..--------... (werkelooze)
.--..-.-.-.-. (werken)
.--..-.-.-..-. (werker)
.--..-.-.-..-.... (werkers)
.--..-.-.-.--....-.. (werkezel)
.--..-.-.-.--....-..... (werkezels)
.--..-.-.---..-...- (werkgast)
.--..-.-.---..-...-.-. (werkgasten)
.--..-.-.---.....-..-. (werkgever)
.--..-.-.---.....-..-.... (werkgevers)
.--..-.-.-........-....--. (werkheilig)
.--..-.-.-........-....--.. (werkheilige)
.--..-.-.-........-....--..-. (werkheiligen)
.--..-.-.-........-....--...-. (werkheiliger)
.--..-.-.-........-....--........-.. (werkheiligheid)
.--..-.-.-........-....--....- (werkheiligst)
.--..-.-.-......-..... (werkhuis)
.--..-.-.-......-..--...-. (werkhuizen)
.--..-.-.-..-.--. (werking)
.--..-.-.-..-.--..-. (werkingen)
.--..-.-.-..-..-...-.-.....-..-.--. (werkinrichting)
.--..-.-.-..-..-...-.-.....-..-.--..-. (werkinrichtingen)
.--..-.-.-.---. (werkje)
.--..-.-.-.---.... (werkjes)
.--..-.-.--.-.---..-. (werkkamer)
.--..-.-.--.-.---..-.... (werkkamers)
.--..-.-.--.-.-..--.-.....- (werkkracht)
.--..-.-.--.-.-..--.-.....-.-. (werkkrachten)
.--..-.-.--.-.-...-.--. (werkkring)
.--..-.-.--.-.-...-.--..-. (werkkringen)
.--..-.-.-.-.....-...-. (werklieden)
.--..-.-.-.-.....-...-....-..-.....----.-.. (werkliedenverbond)
.--..-.-.-.-..-------. (werkloon)
.--..-.-.-.-..-------..-. (werkloonen)
.--..-.-.-.-..------... (werkloos)
.--..-.-.-.-..--------... (werklooze)
.--..-.-.---.--. (werkman)
.--..-.-.---.--.-...---. (werkmandje)
.--..-.-.---.--.-...---.... (werkmandjes)
.--..-.-.---.--..-.....-...-. (werkmanlieden)
.--..-.-.---.--..-....-.. (werkmanlui)
.--..-.-.---.....-..-. (werkmeester)
.--..-.-.---.....-..-.... (werkmeesters)
.--..-.-.---...-.. (werkmeid)
.--..-.-.---...-...-. (werkmeiden)
.--..-.-.--..--..-. (werknemer)
.--..-.-.--..--..-.... (werknemers)
.--..-.-.-.--..-.-.-.-.. (werkpaard)
.--..-.-.-.--..-.-.-.-...-. (werkpaarden)
.--..-.-.-.--..--.- (werkpak)
.--..-.-.-.--..--.-.---. (werkpakje)
.--..-.-.-.--..--.-.---.... (werkpakjes)
.--..-.-.-.--..--.--.-.-. (werkpakken)
.--..-.-.-.--..-...-.--... (werkplaats)
.--..-.-.-.--..-...-.--....-. (werkplaatsen)
.--..-.-.-...-.-.....---.-.- (werkschort)
.--..-.-.-...-.-.....---.-.-.-. (werkschorten)
.--..-.-.-...-.--.-..-. (werkstaker)
.--..-.-.-...-.--.-..-.... (werkstakers)
.--..-.-.-...-.--.-..-.--. (werkstaking)
.--..-.-.-...-.--.-..-.--..-. (werkstakingen)
.--..-.-.-...-..-...-....--. (werkstellig)
.--..-.-.-...-..-. (werkster)
.--..-.-.-...-..-.... (werksters)
.--..-.-.-...----..-.. (werkstoel)
.--..-.-.-...----..-...-. (werkstoelen)
.--..-.-.-...-..--.- (werkstuk)
.--..-.-.-...-..--.-.---. (werkstukje)
.--..-.-.-...-..--.-.---.... (werkstukjes)
.--..-.-.-...-..--.--.-.-. (werkstukken)
.--..-.-.--.-..-...-.. (werktafel)
.--..-.-.--.-..-...-..... (werktafels)
.--..-.-.--.-..-...-..-.---. (werktafeltje)
.--..-.-.--.-..-...-..-.---.... (werktafeltjes)
.--..-.-.--. (werkte)
.--..-.-.--...----.. (werktijd)
.--..-.-.--...----...-. (werktijden)
.--..-.-.--..-..--. (werktuig)
.--..-.-.--..-..--..-. (werktuigen)
.--..-.-.--..-..--..---. (werktuigje)
.--..-.-.--..-..--..---.... (werktuigjes)
.--..-.-.--..-..--.-.-..--.-... (werktuigkunde)
.--..-.-.--..-..--.-.-..--.-....--.. (werktuigkundige)
.--..-.-.--..-..--.-.-..--.-....--..-. (werktuigkundigen)
.--..-.-.--..-..--..-.....----.- (werktuiglijk)
.--..-.-.--..-..--..-.....----.-..-. (werktuiglijker)
.--..-.-.--..-..--..-.....----.-.......-.. (werktuiglijkheid)
.--..-.-.--..-..--..-.....----.-...- (werktuiglijkst)
.--..-.-.-..-.-..-. (werkuren)
.--..-.-.-..-..-.-. (werkuur)
.--..-.-.-...-..-....-.-......-..-...-...-.--. (werkverschaffing)
.--..-.-.-...----.-..-.- (werkvolk)
.--..-.-.-...-.-.---..-.-- (werkvrouw)
.--..-.-.-...-.-.---..-.--.-. (werkvrouwen)
.--..-.-.-.-- (werkw)
.--..-.-.-.--------.-.-.. (werkwoord)
.--..-.-.-.--------.-.-....-.....----.- (werkwoordelijk)
.--..-.-.-.--------.-.-...-. (werkwoorden)
.--..-.-.-.--------.-.-...---. (werkwoordje)
.--..-.-.-.--------.-.-...---.... (werkwoordjes)
.--..-.-.---...-.--- (werkzaam)
.--..-.-.---...-.---.....-...-. (werkzaamheden)
.--..-.-.---...-.---.......-.. (werkzaamheid)
.--..-.-.---...-.---...- (werkzaamst)
.--..-.-.---...---..-. (werkzamer)
.--..-.-.---.....----... (werkzijde)
.--..-.-.---.....----...-. (werkzijden)
.--..-..--..--.-.-..-. (werpanker)
.--..-..--..--.-.-..-.... (werpankers)
.--..-..--.-...-..-.--.. (werpdraad)
.--..-..--.-...-..--...-. (werpdraden)
.--..-..--..-. (werpen)
.--..-..--.--..-.-..-. (werpgaren)
.--..-..--..-.....----. (werplijn)
.--..-..--..-.....----..-. (werplijnen)
.--..-..--..-..-------.. (werplood)
.--..-..--.-..- (werpnet)
.--..-..--.-..--.-. (werpnetten)
.--..-..--....-.-.......-.-.....- (werpschicht)
.--..-..--....-.-.......-.-.....-.-. (werpschichten)
.--..-..--....-.-........---..-. (werpschijf)
.--..-..--....-.-........---...-.-. (werpschijven)
.--..-..--.....--....-. (werpspeer)
.--..-..--.....--...-.. (werpspel)
.--..-..--.....--...-...-. (werpspelen)
.--..-..--.....--...-..-. (werpsperen)
.--..-..--.....--....... (werpspies)
.--..-..--.....--....-... (werpspiets)
.--..-..--.....--....-....-. (werpspietsen)
.--..-..--....-------- (werpstoot)
.--..-..--....--------.-. (werpstooten)
.--..-..--.----.-.. (werptol)
.--..-..--.----.-...-...-. (werptollen)
.--..-..--.-.-.---... (werptros)
.--..-..--.-.-.---.......-. (werptrossen)
.--..-..--.-..-..--. (werptuig)
.--..-..--.-..-..--..-. (werptuigen)
.--..-....- (werst)
.--..-....-.-. (wersten)
.--..-....-..-.. (wervel)
.--..-....-..-..-... (wervelde)
.--..-....-..-...-. (wervelen)
.--..-....-..-..... (wervels)
.--..-....-..-...--..-.-.. (wervelwind)
.--..-....-..-...--..-.-...-. (wervelwinden)
.--..-....-..-..--.....-.- (wervelziek)
.--..-....-..-..--.....-.-..-. (wervelzieker)
.--..-....-..-..--.....-.-...- (wervelziekst)
.--..-....-.-. (werven)
.--..-....-..-. (werver)
.--..-....-..-.... (wervers)
.--..-....-..-.--. (werving)
.--..-....-..-.--..-. (wervingen)
.--..-..--.-.-.-.-... (werwaarts)
.--.........-.-.....-. (weshalve)
.--.....--. (wesp)
.--.....--..-. (wespen)
.--.....--..-..--.--...-.. (wespenangel)
.--.....--..-..--.--...-..... (wespenangels)
.--.....--..-.... (wespenei)
.--.....--..-......-..-. (wespeneieren)
.--.....--..-......-.-.---.... (wespeneiertjes)
.--.....--..-....-.---. (wespeneitje)
.--.....--..-....-.---.... (wespeneitjes)
.--.....--..-.-.....- (wespennest)
.--.....--..-.-.....-.-. (wespennesten)
.--.....--.....-..-.- (wespesteek)
.--.....--.....-.-.-.-. (wespesteken)
.--.....--..---. (wespje)
....--....--.-.... (West-Indiã)
....--....-.-...-.--.-....-..-. (West-Vlaanderen)
.--....-...-.-... (westeinde)
.--....-..-.....----.- (westelijk)
.--....-..-.....----.-.-. (westelijken)
.--....-..-.....----.-..-. (westelijker)
.--....-..-.....----.-...- (westelijkst)
.--....-..-.....----.--. (westelijkte)
....-.-. (Westen)
.--....-.-..--..-.-.. (westenwind)
.--....-.-..--..-.-...-. (westenwinden)
.--....-..-.--..--.--. (westergang)
....-..-.--.------ (Westergoo)
.--....-..-.--..-..-.... (westergrens)
.--....-..-.--..-..-.--...-. (westergrenzen)
.--....-..-.....---.-.- (westerhoek)
.--....-..-.-.-..-- (westerkim)
.--....-..-..-...-.--.-. (westerlengte)
.--....-..-..-....-.--. (westerling)
.--....-..-..-....-.--.. (westerlinge)
.--....-..-..-....-.--..-. (westerlingen)
.--....-..-....-.-..... (westersch)
.--....-..-.--..----. (westerzon)
.--....-..-..-.-....-.--. (westfaling)
....-..-..-........-...--.-.. (Westfriesland)
....-..-..---. (Westinje)
....-..-..---....-.-.-.-.-....-. (Westinjevaarder)
....-..-..---....-.-.-.-.-....-.... (Westinjevaarders)
....-.-...--.-.. (Westland)
.--....--.------.-.-...--....- (westnoordwest)
....-...-.-...-.---...-.-..... (Westvlaamsch)
.--....-.--.-.-.-.-... (westwaarts)
.--....---....-..-...--....- (westzuidwest)
.--.....--.--.. (weswege)
.--.-....---.-.- (wetboek)
.--.-....---.-.-.-. (wetboeken)
.--.-.-. (weten)
.--.-.-.... (wetens)
.--.-.-....-.-......-.--..--...-.....----.- (wetenschappelijk)
.--.-.-....-.-......-.--..--...-.....----.-..-. (wetenschappelijker)
.--.-.-....-.-......-.--..--...-.....----.-.......-.. (wetenschappelijkheid)
.--.-.-....-.-......-.--..--...-.....----.-...- (wetenschappelijkst)
.--.-.-....-.-......-.--..--..-. (wetenschappen)
.--.-.-.....--.-.-.-.-....--. (wetenswaardig)
.--.-.-.....--.-.-.-.-....--...-. (wetenswaardiger)
.--.-.-.....--.-.-.-.-....--....- (wetenswaardigst)
.--.-..-...-.--..-. (weteringen)
.--.---...-.....-.-... (wetgeleerde)
.--.---...-.....-.-...-. (wetgeleerden)
.--.---..-.-.---..-.-- (wetgetrouw)
.--.---.....-.-.-.. (wetgevend)
.--.---.....-..-. (wetgever)
.--.---.....-..-.... (wetgevers)
.--.---.....-..-.--. (wetgeving)
.--.---.....-..-.--..-. (wetgevingen)
.--.-....---..--....-. (wethouder)
.--.-....---..--....-..-. (wethouderen)
.--.-....---..--....-.... (wethouders)
.--.-....---..--....-....-.-......-.--. (wethouderschap)
.--.-....---..--....-....-.-......-.--..--..-. (wethouderschappen)
.--.-.---. (wetje)
.--.-.---.... (wetjes)
.--.-.--..-...--.-.- (wetplank)
.--.-.--..-...--.-.-.-. (wetplanken)
.--.-....-.-.-..-.-..-...-. (wetsartikelen)
.--.-.........--..-.-....-.--. (wetsbepaling)
.--.-.........--..-.-....-.--..-. (wetsbepalingen)
.--.-.........-.--.....-...-.--. (wetsherziening)
.--.-.........-.--.....-...-.--..-. (wetsherzieningen)
.--.-.....-.-..-..--..-..-.--... (wetsinterpretatie)
.--.-...----.-.--..-..--. (wetsontwerp)
.--.-...----.-.--..-..--..-. (wetsontwerpen)
.--.-...---...-..-.-.-..-....-.--. (wetsovertreding)
.--.-...---...-..-.-.-..-....-.--..-. (wetsovertredingen)
.--.-...-..-..-. (wetsteenen)
.--.-......-..-..--.-....-...-.--. (wetsverandering)
.--.-......-..-..--.-....-...-.--..-. (wetsveranderingen)
.--.-......-------.-....-..-.. (wetsvoorstel)
.--.-......-------.-....-..-...-...-. (wetsvoorstellen)
.--.-....--...-----....--...-.--. (wetswijziging)
.--.-....--...-----....--...-.--..-. (wetswijzigingen)
.--.--. (wette)
.--.--..-.....----.- (wettelijk)
.--.--..-.....----.-.......-.. (wettelijkheid)
.--.--..-..------... (wetteloos)
.--.--..-..------..........-.. (wetteloosheid)
.--.--..-..--------....-. (wetteloozer)
.--.--.-....-..-.--...---..-....-.--. (wettenverzameling)
.--.--.-....-..-.--...---..-....-.--..-. (wettenverzamelingen)
.--.--..--. (wettig)
.--.--..--.-... (wettigde)
.--.--..--..-. (wettigen)
.--.--..--...-. (wettiger)
.--.--..--........-.. (wettigheid)
.--.--..--...-.--. (wettiging)
.--.--..--...-.--..-. (wettigingen)
.--.--..--..-.....----.- (wettiglijk)
.--.--..--....- (wettigst)
.--.--.....-.-..... (wettisch)
.--....-..-....-.--. (weveling)
.--....-..-....-.--..-. (wevelingen)
.--....-.-. (weven)
.--....-..-. (wever)
.--....-..-....--- (weverij)
.--....-..-....---.-. (weverijen)
.--....-..-.... (wevers)
.--....-..-........-------- (weversboom)
.--....-..-........--------.-. (weversboomen)
.--....-..-....-.-.-..---... (weversklos)
.--....-..-....-.-.-..---.......-. (weversklossen)
.--....-..-....-.--.------.--. (weversknoop)
.--....-..-....-.--.------.--..-. (weversknoopen)
.--....-..-........--.---..-.. (weversspoel)
.--....-..-........--.---..-...-. (weversspoelen)
.--....-..-.--. (weving)
.--....-..-.--..-. (wevingen)
.--.--....-.. (wezel)
.--.--....-..... (wezels)
.--.--....-..-.---. (wezeltje)
.--.--....-..-.---.... (wezeltjes)
.--.--...-. (wezen)
.--.--...-........-.. (wezenheid)
.--.--...-..-.....----.- (wezenlijk)
.--.--...-..-.....----.-..-. (wezenlijker)
.--.--...-..-.....----.-.......-.. (wezenlijkheid)
.--.--...-..-.....----.-...- (wezenlijkst)
.--.--...-..-..------... (wezenloos)
.--.--...-..-..------..........-.. (wezenloosheid)
.--.--...-..-..--------....-. (wezenloozer)
.--.--...-.... (wezens)
.--.--...-....-.-..-.- (wezenstrek)
.--.--...-....-.-..-.--.-.-. (wezenstrekken)
.--.--...-.-.---. (wezentje)
.--.--...-.-.---.... (wezentjes)
.--.........- (whist)
.--.........-.-...-----.-...---. (whistavondje)
.--.........-.-...-----.-...---.... (whistavondjes)
.--.........--.-..-....-.... (whistclub)
.--.........--.-..-....-....... (whistclubs)
.--.........-.-. (whisten)
.--.........-..-. (whister)
.--.........-..-.... (whisters)
.--.........--.-.-.-.-.- (whistkaart)
.--.........--.-.-.-.-.-.-. (whistkaarten)
.--.........-....--...-.. (whistspel)
.--.........-....--...-...-...-. (whistspellen)
.--.........--. (whistte)
.--..-.-.......-...-.-.-. (wichelaar)
.--..-.-.......-...-.-.-.... (wichelaars)
.--..-.-.......-...-.-.-....-.-..--....- (wichelaarskunst)
.--..-.-.......-...-.-.-....-.-..--....-.-. (wichelaarskunsten)
.--..-.-.......-...-.-.-....-..-. (wichelaarster)
.--..-.-.......-...-.-.-....-..-.... (wichelaarsters)
.--..-.-.......-...-.-..-. (wichelaren)
.--..-.-.......-...-.-....--- (wichelarij)
.--..-.-.......-...-.-....---.-. (wichelarijen)
.--..-.-.......-...-.---.-... (wichelroede)
.--..-.-.......-...-.---.-...-. (wichelroeden)
.--..-.-.....- (wicht)
.--..-.-.....-.-. (wichten)
.--..-.-.....-..--. (wichtig)
.--..-.-.....-..--...-. (wichtiger)
.--..-.-.....-..--........-.. (wichtigheid)
.--..-.-.....-..--....- (wichtigst)
.--..-.-.....-.---. (wichtje)
.--..-.-.....-.---.... (wichtjes)
.--... (wie)
.--.........-..-... (wiebelde)
.--.........-...-. (wiebelen)
.--...-.......-.-... (wiedbaas)
.--...-.......---...-. (wiedbazen)
.--...-..-... (wiedde)
.--...-...-. (wieden)
.--...-....-. (wieder)
.--...-....-.... (wieders)
.--...-...... (wiedes)
.--...-....--...-.--..- (wiedeweerga)
.--...-.....-----....-. (wiedijzer)
.--...-.....-----....-.... (wiedijzers)
.--...-...-..-------. (wiedloon)
.--...-...-..-------..-. (wiedloonen)
.--...-..--.... (wiedmes)
.--...-..--........-. (wiedmessen)
.--...-.....-..-. (wiedster)
.--...-.....-..-.... (wiedsters)
.--...-.....----.-..-.- (wiedvolk)
.--...--. (wieg)
.--...--.-... (wiegde)
.--...--..-.-.-.--. (wiegekap)
.--...--..-.-.-.--..--..-. (wiegekappen)
.--...--..-.-.-....-.. (wiegekleed)
.--...--..-.-.-....-...-. (wiegekleeden)
.--...--..-.-.-....-...---. (wiegekleedje)
.--...--..-.-.-....-...---.... (wiegekleedjes)
.--...--..-.-------.-.-.. (wiegekoord)
.--...--..-.-------.-.-...-. (wiegekoorden)
.--...--...-..-... (wiegelde)
.--...--...-...-. (wiegelen)
.--...--...-.....-.. (wiegelied)
.--...--...-.....-....-..-. (wiegeliederen)
.--...--...-.....-...---. (wiegeliedje)
.--...--...-.....-...---.... (wiegeliedjes)
.--...--...-....-.--. (wiegeling)
.--...--...-....-.--..-. (wiegelingen)
.--...--...-.....----..-.. (wiegelstoel)
.--...--...-.....----..-...-. (wiegelstoelen)
.--...--..-. (wiegen)
.--...--..----..-.-- (wiegetouw)
.--...--..----..-.--.-. (wiegetouwen)
.--...--..---. (wiegje)
.--...--..---.... (wiegjes)
.--...-.- (wiek)
.--...-.-.-. (wieken)
.--...-.-.---. (wiekje)
.--...-.-.---.... (wiekjes)
.--....-.. (wiel)
.--....-...-. (wielen)
.--....-....-. (wieler)
.--....-....-......-.--. (wielerbaan)
.--....-....-......--..-. (wielerbanen)
.--....-....-.... (wielers)
.--....-....-.....--.---.-.- (wielersport)
.--....-....-..--.-.....-.-....----.. (wielerwedstrijd)
.--....-....-..--.-.....-.-....----...-. (wielerwedstrijden)
.--....-....--.-.-.-.. (wielewaal)
.--....-....--.-.-...-. (wielewalen)
.--....-....-.--. (wieling)
.--....-....-.--..-. (wielingen)
.--....-...-....----...-. (wielrijden)
.--....-...-....----....-. (wielrijder)
.--....-...-....----....-.... (wielrijders)
.--....-...-....----....-........----.-.. (wielrijdersbond)
.--....-...-....----....-........----.-...-. (wielrijdersbonden)
.--....-...-....---...-.-.....---.-...-. (wielrijscholen)
.--....-...-....---...-.-.....------.-.. (wielrijschool)
.--....-..-.---. (wieltje)
.--....-..-.---.... (wieltjes)
.--....-..-.-.---... (wieltros)
.--....-..-.-.---.......-. (wieltrossen)
.--....-. (wier)
.--....-.-... (wierde)
.--....-..-. (wieren)
.--....-...-. (wierf)
.--....-...--. (wierig)
.--....-...--...-. (wieriger)
.--....-...--........-.. (wierigheid)
.--....-...--....- (wierigst)
.--....-.-------.- (wierook)
.--....-.-------.--...---.--. (wierookdamp)
.--....-.-------.--...---.--..-. (wierookdampen)
.--....-.-------.-.-. (wierooken)
.--....-.-------.---....-.-. (wierookgeur)
.--....-.-------.--. (wierookte)
.--....-.-------.-...-.-- (wierookvat)
.--....-.-------.-...-.--.-. (wierookvaten)
.--....-..--. (wierp)
.--....-....-.-. (wierven)
.--...... (wies)
.--......-.-..... (wiesch)
.--......-.-......-. (wieschen)
.--.......-. (wiesen)
.--....--.-..-.---... (wiewauwde)
.--....--.-..-.--.-. (wiewauwen)
.--....-----..--..-. (wiewouter)
.--....-----..--..-.... (wiewouters)
.--..--. (wig)
.--..--.--.. (wigge)
.--..--.--........-. (wiggebeen)
.--..--.--........-.-....-..-. (wiggebeenderen)
.--..--.--...-..-... (wiggelde)
.--..--.--...-...-. (wiggelen)
.--..--.--..-. (wiggen)
.--..--.--..-.---. (wiggetje)
.--..--.--..-.---.... (wiggetjes)
.--..--..---. (wigje)
.--..--..---.... (wigjes)
.--..--....----.-.--..--. (wigvormig)
.--...--- (wij)
.--...---............-.-.....---.--. (wijbisschop)
.--...---............-.-.....---.--..--..-. (wijbisschoppen)
.--...---.....-.-------.. (wijbrood)
.--...---.....-.-------...-. (wijbrooden)
.--...----.. (wijd)
.--...----........-.... (wijdbeens)
.--...----........-.---.---.. (wijdberoemd)
.--...----..-... (wijdde)
.--...----...-. (wijden)
.--...----....-. (wijder)
.--...----....-.... (wijders)
.--...----....-.--. (wijding)
.--...----....-.--..-. (wijdingen)
.--...----...-..------.--...--. (wijdloopig)
.--...----...-..------.--...--...-. (wijdloopiger)
.--...----...-..------.--...--........-.. (wijdloopigheid)
.--...----...-..------.--...--....- (wijdloopigst)
.--...----...-....-..-.-..--. (wijdluftig)
.--...----...-....-..-.-..--...-. (wijdluftiger)
.--...----...-....-..-.-..--....- (wijdluftigst)
.--...----.....- (wijdst)
.--...----..-. (wijdte)
.--...----..-.-. (wijdten)
.--...----.....-..-.--.-.-.-.-.. (wijdvermaard)
.--...---..-.-... (wijerde)
.--...---..-. (wijf)
.--...---..-..--.-.....-..--. (wijfachtig)
.--...---..-..--.-.....-..--...-. (wijfachtiger)
.--...---..-..--.-.....-..--....- (wijfachtigst)
.--...---..-..---. (wijfje)
