.-.----.... (a's)
.-.--.--..-...------.--..-. (aangedwongen)
.-.--.--.....-....-..-. (aangeefster)
.-.--.--.....-....-..-.... (aangeefsters)
.-.--.--....-..-..----.-. (aangefloten)
.-.--.--....-.----.-- (aangefokt)
.-.--.--..--..-.--. (aangegaan)
.-.--.--..--..-.-.--.- (aangegaapt)
.-.--.--..--......--.- (aangegespt)
.-.--.--..--.....-.-. (aangegeven)
.-.--.--..--.....-.-.. (aangegierd)
.-.--.--..--..-....-....-..-.-.. (aangeglinsterd)
.-.--.--..--..-..---...-.. (aangegloeid)
.-.--.--..--..-..-------.-. (aangeglommen)
.-.--.--..--..-....-...--.- (aangegluipt)
.-.--.--..--..-....-..-.-.-.. (aangegluurd)
.-.--.--..--.---.-....-.-.. (aangegolfd)
.-.--.--..--.----....-.. (aangegonsd)
.-.--.--..--.---.-.-.. (aangegord)
.-.--.--..--.----.-. (aangegoten)
.-.--.--..--..-..-..-.---.. (aangegrauwd)
.-.--.--..--..-..-...-.-. (aangegraven)
.-.--.--..--..-...--..-. (aangegrepen)
.-.--.--..--..-....----....-.. (aangegrijnsd)
.-.--.--..--..-...-.-...-.-- (aangegrinnikt)
.-.--.--..--..-.---...-.. (aangegroeid)
.-.--.--..--..-.---.-.-.. (aangegroend)
.-.--.--..--..-.------.. (aangegromd)
.-.--.--.......-.--.-- (aangehaakt)
.-.--.--.......-.-.-..-.. (aangehaald)
.-.--.--.......--.. (aangehad)
.-.--.--.......--.--..-. (aangehangen)
.-.--.--.......-.-.-.. (aangehard)
.-.--.--.......-.-.-.-- (aangeharkt)
.-.--.--.......-.-.....- (aangehecht)
.-.--.--.........-..-.. (aangeheeld)
.-.--.--.......--..-. (aangehegen)
.-.--.--..........-.-. (aangeheven)
.-.--.--.........-----.-.. (aangehijgd)
.-.--.--........-.-.-- (aangehinkt)
.-.--.--........-...- (aangehitst)
.-.--.--......---...-.-.. (aangehoefd)
.-.--.--......---..--...-..-.. (aangehoepeld)
.-.--.--......---.-..-.. (aangehold)
.-.--.--......---.-...--..-. (aangeholpen)
.-.--.--......--------.-.. (aangehoogd)
.-.--.--......------.--.- (aangehoopt)
.-.--.--......------.-.-.. (aangehoord)
.-.--.--......---..--...-. (aangehouden)
.-.--.--........-...-..-.. (aangehuild)
.-.--.--........-.--..--...-..-.. (aangehuppeld)
.-.--.--........-.---.. (aangehuwd)
.-.--.--........-.--..-.....----.-- (aangehuwelijkt)
.-.--.--.....---.-..-.. (aangeijld)
.-.--.--...---.-.---.-.. (aangejaagd)
.-.--.--...---..-..-.-.....- (aangejuicht)
.-.--.--..-.-.-.-..-.-- (aangekalkt)
.-.--.--..-.-.--.- (aangekant)
.-.--.--..-.-.-.--.- (aangekapt)
.-.--.--..-.-.-.-.-.. (aangekard)
.-.--.--..-.-...-.- (aangekeft)
.-.--.--..-.-.-.-.-. (aangekeken)
.-.--.--..-.-..-.---.. (aangekermd)
.-.--.--..-.-.-...-.---.-.. (aangeklaagd)
.-.--.--..-.-.-...-.---.-... (aangeklaagde)
.-.--.--..-.-.-...-.---.-...-. (aangeklaagden)
.-.--.--..-.-.-...---.--.- (aangeklampt)
.-.--.--..-.-.-...-..--..-.-.. (aangeklauterd)
.-.--.--..-.-.-...-..-.---.. (aangeklauwd)
.-.--.--..-.-.-....-.. (aangekleed)
.-.--.--..-.-.-......-.-.. (aangekleefd)
.-.--.--..-.-.-...---.. (aangeklemd)
.-.--.--..-.-.-..-------.-. (aangeklommen)
.-.--.--..-.-.-..----.-.-.-. (aangeklonken)
.-.--.--..-.-.-..---.--.- (aangeklopt)
.-.--.--..-.-.-..---...- (aangeklost)
.-.--.--..-.-.-..----...- (aangeklotst)
.-.--.--..-.--...--..-. (aangeknepen)
.-.--.--..-.--.------.--.- (aangeknoopt)
.-.--.--..-.-----.-.....- (aangekocht)
.-.--.--..-.------.-. (aangekomen)
.-.--.--..-.-----.-....--.-.. (aangekondigd)
.-.--.--..-.-------..-.. (aangekooid)
.-.--.--..-.----.--..--...-..-.. (aangekoppeld)
.-.--.--..-.----.--.- (aangekopt)
.-.--.--..-.----.-....- (aangekorst)
.-.--.--..-.----.-....-.-. (aangekorven)
.-.--.--..-.-.-..----.. (aangekramd)
.-.--.--..-.-.-..--..-. (aangekregen)
.-.--.--..-.-.-..-.-. (aangekreten)
.-.--.--..-.-.-.------...-. (aangekrooien)
.-.--.--..-.-.-.---.--..-. (aangekropen)
.-.--.--..-.-.-...-..-.. (aangekruid)
.-.--.--..-.-..-....-.-.. (aangekuierd)
.-.--.--..-.-..--.-.. (aangekund)
.-.--.--..-.-.--.--.-- (aangekwakt)
.-.--.--..-.-.--..-.-- (aangekweekt)
.-.--.--...-...--.-......-. (aangelachen)
.-.--.--...-...--.-.. (aangeland)
.-.--.--...-...--.-... (aangelande)
.-.--.--...-...--.-...-. (aangelanden)
.-.--.--...-...--.--.-.. (aangelangd)
.-.--.--...-...-.--.- (aangelapt)
.-.--.--...-...-...-.-.....- (aangelascht)
.-.--.--...-...--.-. (aangelaten)
.-.--.--...-.....-.-.. (aangeleerd)
.-.--.--...-...--.-.. (aangelegd)
.-.--.--...-...--..-. (aangelegen)
.-.--.--...-...--..-...-. (aangelegener)
.-.--.--...-...--..-......-...-. (aangelegenheden)
.-.--.--...-...--..-........-.. (aangelegenheid)
.-.--.--...-...--..-....- (aangelegenst)
.-.--.--...-.....-.. (aangeleid)
.-.--.--...-...-.--.-.. (aangelengd)
.-.--.--...-.....--.-.. (aangeleund)
.-.--.--...-....-.-.....- (aangelicht)
.-.--.--...-.....------.. (aangelijmd)
.-.--.--...-..---...-.-.. (aangeloefd)
.-.--.--...-..---...-.. (aangeloeid)
.-.--.--...-..---..-.-.. (aangeloerd)
.-.--.--...-..----.-- (aangelokt)
.-.--.--...-..----.-.-- (aangelonkt)
.-.--.--...-..-------.. (aangelood)
